suburb,lat,lon
SOUTH HURSTVILLE,-33.977595,151.104909
PENSHURST,-33.963346,151.086744
MORTDALE,-33.972239,151.075391
OATLEY,-33.981428,151.082765
KANGAROO POINT,-33.997972,151.096235
SYLVANIA,-34.008075,151.105104
SYLVANIA SOUTHGATE,-34.009895,151.104166
SYLVANIA WATERS,-34.019802,151.115847
CARAVAN HEAD,-33.997441,151.087892
OYSTER BAY,-34.006894,151.081067
BONNET BAY,-34.009518,151.054252
COMO,-34.004186,151.068288
JANNALI,-34.017074,151.065081
GYMEA,-34.033142,151.085421
GYMEA BAY,-34.048156,151.086087
MIRANDA,-34.034014,151.100428
YOWIE BAY,-34.049866,151.104325
CARINGBAH,-34.04316,151.123102
DOLANS BAY,-34.05968,151.126746
LILLI PILLI,-34.069836,151.114032
PORT HACKING,-34.067503,151.122449
TAREN POINT,-34.012545,151.125456
WARUMBUL,-34.078313,151.102646
BUNDEENA,-34.085064,151.151259
BURRANEER,-34.065063,151.137171
CRONULLA,-34.051972,151.153662
MAIANBAR,-34.081826,151.129788
WOOLOOWARE,-34.048276,151.141431
KURNELL,-34.008487,151.204879
AUDLEY,-34.075295,151.056519
GARIE,-34.171841,151.062842
GRAYS POINT,-34.05884,151.081652
KAREELA,-34.014668,151.082733
KIRRAWEE,-34.033743,151.071196
LOFTUS,-34.048075,151.051176
SUTHERLAND,-34.031432,151.057965
WORONORA,-34.020654,151.047946
ENGADINE,-34.065716,151.012663
HEATHCOTE,-34.079112,151.008619
WATERFALL,-34.1352,150.994957
WORONORA HEIGHTS,-34.034836,151.027656
YARRAWARRAH,-34.058462,151.03279
ALFORDS POINT,-33.993303,151.024751
BANGOR,-34.018876,151.030057
BARDEN RIDGE,-34.032851,151.005396
ILLAWONG,-33.998018,151.042591
LUCAS HEIGHTS,-34.047985,150.988369
MENAI,-34.012564,151.014645
MENAI CENTRAL,-33.998425,151.063767
BUCKETTY,-33.111273,151.138861
CALGA,-33.43835,151.236467
CENTRAL MANGROVE,-33.292384,151.234661
EAST GOSFORD,-33.438534,151.354167
ERINA,-33.437893,151.383648
ERINA FAIR,-33.437221,151.394139
GLENWORTH VALLEY,-33.423807,151.17688
GOSFORD,-33.426938,151.341843
GREENGROVE,-33.382712,151.145126
HOLGATE,-33.409747,151.405406
KARIONG,-33.439733,151.293333
KULNURA,-33.225924,151.222101
LISAROW,-33.380843,151.371283
LOWER MANGROVE,-33.412045,151.150688
MANGROVE CREEK,-33.359231,151.146082
MANGROVE MOUNTAIN,-33.300847,151.191661
MATCHAM,-33.417004,151.420834
MOONEY MOONEY CREEK,-33.439621,151.244578
MOUNT ELLIOT,-33.399915,151.385524
MOUNT WHITE,-33.461404,151.190612
NARARA,-33.395807,151.346114
NIAGARA PARK,-33.381996,151.355782
NORTH GOSFORD,-33.41684,151.348821
PEATS RIDGE,-33.351199,151.229736
POINT CLARE,-33.436772,151.320952
POINT FREDERICK,-33.449407,151.341896
SOMERSBY,-33.360992,151.291053
SPRINGFIELD,-33.430406,151.370764
TASCOTT,-33.450818,151.319442
TEN MILE HOLLOW,-33.324602,151.089946
UPPER MANGROVE,-33.293327,151.122269
WENDOREE PARK,-33.455552,151.155631
WEST GOSFORD,-33.420829,151.321753
WYOMING,-33.40485,151.350776
AVOCA BEACH,-33.464937,151.432387
BENSVILLE,-33.498579,151.381089
BOUDDI,-33.511538,151.400793
COPACABANA,-33.48994,151.430558
