city,code,People,lon,Median age,Female,lat,Male
Glen Alpine,11645,4559,150.775275,40,0.5,-34.084184,0.5
Artarmon,10090,9523,151.189662,35,0.512,-33.807664,0.488
Stokers Siding,13664,663,153.403631,46,0.478,-28.393503,0.522
Borenore,10513,462,148.974505,44,0.464,-33.247292,0.536
Boggabilla,10441,990,150.415347,31,0.507,-28.744821,0.493
Warriewood,14173,7501,151.29908,39,0.52,-33.686265,0.48
Inverell,11981,11660,151.229884,41,0.521,-29.748424,0.479
Kalaru,12051,708,149.939572,42,0.49,-36.736047,0.51
Kingfisher Shores,12146,163,151.5572,44,0.5,-33.1714,0.5
Invergowrie,11983,775,151.498196,45,0.496,-30.497561,0.504
North Strathfield,13009,4767,151.091954,32,0.502,-33.85746,0.498
Wagga Wagga,14083,7104,151.904484,38,0.52,-30.569822,0.48
Whale Beach,14267,253,151.330438,57,0.531,-33.614274,0.469
South Gundurimba,13585,322,153.258782,45,0.472,-28.887662,0.528
Carroll,10832,337,149.438586,38,0.472,-30.087425,0.528
The Slopes,13842,326,150.708405,44,0.51,-33.532102,0.49
Boambee,10421,1668,153.084224,46,0.487,-30.34062,0.513
Werris Creek,14238,1572,150.619915,49,0.485,-31.345921,0.515
North Sydney,13010,7705,151.208276,35,0.512,-33.837788,0.488
Farrants Hill,11493,124,153.485658,57,0.496,-28.316723,0.504
Kurraba Point,12217,1521,149.4235,40,0.528,-36.3901,0.472
North Gosford,12991,3700,151.348821,38,0.512,-33.41684,0.488
Wee Waa,14211,2080,149.444421,38,0.498,-30.224868,0.502
Lake Illawarra,12250,3163,150.85695,43,0.517,-34.546473,0.483
San Remo (NSW),13470,4351,151.51616,35,0.512,-33.209738,0.488
Berrima,10320,666,150.332394,52,0.515,-34.504395,0.485
Mandurama,12467,355,149.075273,50,0.482,-33.648855,0.518
Elermore Vale,11394,5526,151.675532,40,0.527,-32.916279,0.473
Illawong,11974,7271,151.042591,43,0.499,-33.998018,0.501
Maryvale (NSW),12517,191,148.899155,45,0.497,-32.464179,0.503
Parklea,13153,3465,150.923807,34,0.355,-33.728123,0.645
Swansea Heads,13712,614,151.657053,44,0.483,-33.09521,0.517
Arrawarra Headland,10089,557,153.202738,47,0.497,-30.059771,0.503
Tintenbar,13878,822,153.513163,45,0.488,-28.79659,0.512
Tucabia,13945,367,153.107275,54,0.493,-29.669036,0.507
Cartwrights Hill,10839,189,147.389575,42,0.439,-35.069754,0.561
Gleniffer,11668,369,152.901504,53,0.526,-30.386799,0.474
Glenwood (NSW),11682,16130,150.922732,34,0.505,-33.737863,0.495
Mylestom,12875,344,153.042817,51,0.519,-30.464762,0.481
Canobolas,10793,476,149.047339,46,0.5,-33.298346,0.5
Johns River,12037,322,152.695147,48,0.494,-31.733492,0.506
Wallarobba,14111,172,151.697483,47,0.526,-32.497237,0.474
The Entrance,13818,4006,151.511249,47,0.524,-33.326254,0.476
Woodpark,14390,1523,150.961859,32,0.506,-33.84063,0.494
Whittingham,14279,364,151.201067,45,0.517,-32.604494,0.483
Rushcutters Bay,13444,2547,151.228614,37,0.495,-33.87624,0.505
Stonehenge (NSW),13665,130,151.7249,53,0.485,-29.8299,0.515
Bohena Creek,10444,167,149.66193,47,0.494,-30.439473,0.506
Roselands,13409,11579,151.073197,36,0.506,-33.933167,0.494
Myocum,12877,985,153.503992,48,0.532,-28.576877,0.468
Girraween (NSW),11636,5590,150.947276,35,0.49,-33.799843,0.51
Lightning Ridge,12320,2284,147.979236,51,0.458,-29.425724,0.542
Pheasants Nest,13191,688,150.635599,41,0.478,-34.255973,0.522
Bowna,10534,110,147.130856,48,0.495,-35.964984,0.505
Upsalls Creek,14049,118,152.659543,45,0.444,-31.633347,0.556
Yamba (NSW),14458,6076,153.361445,56,0.515,-29.437064,0.485
Pitt Town,13226,3033,150.841424,34,0.499,-33.596291,0.501
Constitution Hill,11014,3966,150.975,36,0.522,-33.793,0.478
Cobargo,10951,776,149.887772,53,0.525,-36.38761,0.475
Lakesland,12258,432,150.526834,41,0.503,-34.18087,0.497
Bellingen,10273,3779,152.897966,43,0.537,-30.446069,0.463
Wilcannia,14290,745,143.377976,33,0.507,-31.558559,0.493
Martins Creek,12511,388,151.612337,39,0.525,-32.555529,0.475
Repton,13352,646,153.022416,46,0.523,-30.438888,0.477
Nambucca Heads,12887,6327,153.002886,56,0.526,-30.642442,0.474
Bawley Point,10235,698,150.393202,55,0.509,-35.522387,0.491
Gulargambone,11792,591,148.471189,45,0.5,-31.329692,0.5
Darlinghurst,11212,11320,151.21956,35,0.422,-33.879825,0.578
Marulan,12513,1178,150.03039,41,0.485,-34.76026,0.515
Kulnura,12206,607,151.222101,45,0.484,-33.225924,0.516
Mullaway,12822,567,153.200245,37,0.506,-30.077053,0.494
Caddens,10743,1475,150.7327,30,0.509,-33.771,0.491
New Lambton,12942,10048,151.690553,40,0.519,-32.932574,0.481
Fernmount,11509,369,152.959265,45,0.49,-30.468067,0.51
Maroota,12500,617,150.948575,39,0.497,-33.52308,0.503
Waterfall,14182,494,150.994957,39,0.502,-34.1352,0.498
Lilyfield,12325,7616,151.165788,39,0.525,-33.872991,0.475
Maimuru,12444,137,148.235113,39,0.519,-34.252818,0.481
Glenfield Park,11665,5232,147.334699,33,0.522,-35.13891,0.478
Kilaben Bay,12125,1431,151.587294,45,0.517,-33.024534,0.483
Winton (NSW),14336,222,150.763349,46,0.538,-31.079338,0.462
Windsor Downs,14326,1179,150.803079,45,0.471,-33.667695,0.529
Yellow Rock (Shellharbour - NSW),14503,206,150.7374,43,0.478,-34.6017,0.522
Ashford (NSW),10099,652,151.096081,53,0.507,-29.321245,0.493
Jeremadra,12012,168,150.136599,47,0.503,-35.809125,0.497
Wakefield,14088,144,151.560504,41,0.493,-32.956584,0.507
Narwee,12912,5618,151.069628,38,0.515,-33.948609,0.485
Wakeley,14089,4746,150.90888,38,0.511,-33.873966,0.489
Warrimoo,14174,2450,150.604162,38,0.49,-33.722958,0.51
Bateau Bay,10227,12146,151.479104,44,0.531,-33.381213,0.469
Terara,13795,234,150.627436,55,0.491,-34.865447,0.509
Bexley,10334,19733,151.117388,39,0.512,-33.959548,0.488
Birrong,10379,3103,151.022398,35,0.509,-33.89022,0.491
Robertson (NSW),13374,1865,150.596418,45,0.505,-34.589237,0.495
Garden Suburb,11587,1910,151.683365,44,0.508,-32.948355,0.492
Gowrie (Singleton - NSW),11729,323,153.2775,39,0.503,-28.1853,0.497
Gloucester,11685,2975,151.625369,50,0.53,-32.049433,0.47
Caragabal,10806,185,147.739256,41,0.511,-33.843829,0.489
Connells Point,11013,2829,151.089495,42,0.514,-33.991871,0.486
Lane Cove North,12267,11436,151.170912,34,0.517,-33.807556,0.483
Bundabah,10668,109,152.074063,54,0.518,-32.662213,0.482
Denman,11241,1789,150.686422,41,0.498,-32.389403,0.502
Berkeley Vale,10304,8355,151.43163,38,0.52,-33.341788,0.48
Sun Valley (NSW),13691,227,150.592445,47,0.519,-33.712081,0.481
Fullerton Cove,11575,566,151.837968,63,0.491,-32.841049,0.509
Lower Southgate,12413,113,153.076817,48,0.483,-29.556531,0.517
Long Point (Campbelltown - NSW),12381,212,150.8964,42,0.451,-34.0115,0.549
Hanwood,11850,1256,146.041304,39,0.479,-34.329292,0.521
Bilgola Plateau,10351,3518,151.3159,44,0.502,-33.6451,0.498
Warialda,14149,1590,150.536881,48,0.503,-29.583725,0.497
Greenridge,11768,157,153.120103,28,0.484,-28.896232,0.516
Sydney,13715,17252,151.191884,30,0.489,-33.871209,0.511
Mallabula,12455,931,152.011748,44,0.479,-32.72898,0.521
Burrundulla,10717,149,149.639181,41,0.517,-32.623433,0.483
Bellawongarah,10267,127,150.626431,60,0.473,-34.763894,0.527
Pimlico (NSW),13207,297,153.494219,45,0.483,-28.889412,0.517
Ermington,11435,10737,151.054495,37,0.502,-33.814144,0.498
Tennyson Point,13790,1219,151.117286,43,0.494,-33.831448,0.506
One Mile (NSW),13085,413,152.114949,47,0.46,-32.770639,0.54
South Grafton,13582,6068,152.934605,43,0.513,-29.703242,0.487
Kemps Creek,12094,2268,150.790485,41,0.497,-33.88013,0.503
Ben Lomond (NSW),10286,152,151.658,53,0.49,-30.017361,0.51
Ettalong Beach,11445,4793,151.335289,52,0.527,-33.513696,0.473
Muscle Creek,12867,315,150.997754,34,0.473,-32.270449,0.527
Llangothlin,12364,129,151.686706,45,0.46,-30.123004,0.54
Hurstville,11964,29822,151.104909,32,0.508,-33.977595,0.492
Fernleigh,11508,297,153.497652,48,0.542,-28.760333,0.458
Coalcliff,10944,189,150.976081,47,0.492,-34.243453,0.508
Fawcetts Plain,11498,154,153.016604,45,0.497,-28.575884,0.503
Tenterfield,13792,4066,151.660453,53,0.529,-32.879833,0.471
Ramsgate Beach,13310,1660,151.1483,45,0.543,-33.981114,0.457
Nimmitabel,12966,320,149.280424,52,0.483,-36.518225,0.517
Termeil,13797,252,150.339308,53,0.496,-35.487171,0.504
Bronte,10594,6733,151.263838,37,0.505,-33.902328,0.495
Koraleigh,12195,353,143.4361,44,0.477,-35.1277,0.523
Abbotsbury,10002,4253,150.867768,38,0.512,-33.877538,0.488
Hawks Nest,11873,1223,152.177506,58,0.486,-32.671611,0.514
Cawongla,10864,192,153.103105,54,0.45,-28.591753,0.55
Minto Heights,12643,377,150.871353,44,0.517,-34.037543,0.483
Bukkulla,10648,140,151.129034,34,0.496,-29.503137,0.504
Abbotsford (NSW),10003,5373,151.129453,45,0.528,-33.852469,0.472
Somerton (NSW),13572,277,150.637122,42,0.471,-30.938654,0.529
Dolphin Point,11269,204,150.44539,54,0.485,-35.400376,0.515
Southgate,13604,184,153.024309,47,0.495,-29.608116,0.505
North Epping,12990,4526,151.087742,43,0.512,-33.759777,0.488
Shoal Bay (NSW),13539,1864,152.174979,58,0.501,-32.724136,0.499
Kinchela,12140,264,152.989527,52,0.494,-30.990568,0.506
Grose Wold,11786,635,150.688628,43,0.492,-33.602392,0.508
Concord West,11000,5914,151.087326,41,0.512,-33.848041,0.488
