city,lat,code,lon,people
Yaouk,-35.822302,14466,148.809946,25
Parkes (NSW),-33.138326,13151,148.174166,11408
Baldry,-32.865448,10151,148.500123,96
Mullamuddy,-32.657707,12821,149.67374,66
Falls Creek (NSW),-34.968232,11487,150.596929,935
Larras Lee,-32.970377,12280,148.881707,68
Mount Ousley,-34.402376,12782,150.886719,1602
Georges Plains,-33.515629,11602,149.523182,248
Rocky Creek (Gwydir - NSW),-30.0507,13383,150.1978,52
Forest Lodge,-33.881215,11546,151.181127,4583
Helensburgh,-34.190675,11890,150.981985,6383
Agnes Banks,-33.618877,10021,150.707372,911
Lismore (NSW),-28.809302,12344,153.269477,3579
Lambs Valley (Glen Innes Severn - NSW),-32.596003,12262,151.446425,89
Alfredtown,-35.161474,10032,147.512382,109
Kiama Heights,-34.697929,12118,150.843492,814
Watanobbi,-33.269072,14181,151.431783,3861
Waterloo (NSW),-33.9004,14183,151.206144,14616
Wyndham (NSW),-36.9222,14443,149.6338,386
Huntleys Point,-33.840088,11961,151.145968,144
Richlands (NSW),-34.3418,13359,149.7923,34
Austinmer,-34.306283,10108,150.934563,2560
Willmot,-33.727621,14302,150.791569,2430
Merricumbene,-35.729469,12582,149.896222,19
Coombell,-29.015289,11040,152.973562,24
Sefton,-33.885501,13516,151.011469,5808
Broke (NSW),-32.751222,10590,151.103474,579
Doonside,-33.765071,11275,150.86929,13451
Pagewood,-33.940108,13125,151.228411,3805
Urliup,-28.257434,14060,153.398923,194
Butterwick,-32.658257,10725,151.639005,144
Tyalgum,-28.346657,13994,153.160681,545
East Wagga Wagga,-35.120886,11364,147.382993,237
Maryland (Tenterfield - NSW),-32.879833,12515,151.660453,57
Bribbaree,-34.121252,10566,147.873721,141
Moparrabah,-30.975175,12717,152.530334,105
North Curl Curl,-33.761652,12988,151.295691,4117
Kootingal,-31.057413,12194,151.054338,2126
Thornleigh,-33.730816,13850,151.081226,8464
Swan Vale,-29.769753,13707,151.484701,42
Yarragal,-32.611257,14471,149.066308,22
Artarmon,-33.807664,10090,151.189662,9523
Stokers Siding,-28.393503,13664,153.403631,663
Hillsdale,-33.952685,11911,151.231341,5501
Roseberg,-33.804739,13402,149.024918,29
Borenore,-33.247292,10513,148.974505,462
Boggabilla,-28.744821,10441,150.415347,990
Warriewood,-33.686265,14173,151.29908,7501
Mollymook,-35.329662,12669,150.471836,1083
Cryon,-30.127724,11137,148.61168,46
Sandy Flat,-29.233738,13483,152.005604,82
Frenchs Forest,-33.751488,11568,151.245461,13473
Kingfisher Shores,-33.1714,12146,151.5572,163
Invergowrie,-30.497561,11983,151.498196,775
Hebersham,-33.743504,11886,150.822682,5685
Wagga Wagga,-35.1708,14083,147.3181,7104
Whale Beach,-33.614274,14267,151.330438,253
South Gundurimba,-28.887662,13585,153.258782,322
Mulyandry,-33.571904,12831,148.163085,67
The Slopes,-33.532102,13842,150.708405,326
Boambee,-30.34062,10421,153.084224,1668
Werris Creek,-31.345921,14238,150.619915,1572
