city,code,Median weekly household income,lon,All private dwellings,Average people per household,lat,Median monthly mortgage repayments,Median weekly rent,Average motor vehicles per dwelling
North Sydney,13010,2272,151.208276,4386,2,-33.837788,2500,560,0.9
Farrants Hill,11493,1275,153.485658,59,2,-28.316723,1734,265,1.8
Kurraba Point,12217,2856,149.4235,866,2.1,-36.3901,3000,610,1.4
North Gosford,12991,1195,151.348821,1713,2.4,-33.41684,1647,328,1.5
Wee Waa,14211,1065,149.444421,943,2.4,-30.224868,1051,160,1.9
Lake Illawarra,12250,898,150.85695,1598,2.1,-34.546473,1555,280,1.4
San Remo (NSW),13470,1146,151.51616,1703,2.7,-33.209738,1517,340,1.9
Berrima,10320,1548,150.332394,352,2.5,-34.504395,2167,400,2.2
Mandurama,12467,949,149.075273,193,2.3,-33.648855,1263,133,2.2
Elermore Vale,11394,1325,151.675532,2235,2.5,-32.916279,1733,325,1.8
Illawong,11974,2466,151.042591,2417,3.2,-33.998018,2500,620,2.4
Maryvale (NSW),12517,1468,148.899155,77,2.8,-32.464179,1700,220,2.3
Parklea,13153,2392,150.923807,694,3.6,-33.728123,2500,525,2.1
Swansea Heads,13712,1634,151.657053,249,2.8,-33.09521,2167,440,2.1
Arrawarra Headland,10089,1222,153.202738,252,2.5,-30.059771,1387,320,2
Tintenbar,13878,1631,153.513163,294,2.9,-28.79659,2000,350,2.2
Tucabia,13945,900,153.107275,174,2.2,-29.669036,1083,200,2.2
Cartwrights Hill,10839,1625,147.389575,71,2.9,-35.069754,1517,305,2.2
Gleniffer,11668,1125,152.901504,171,2.3,-30.386799,1566,220,1.8
Glenwood (NSW),11682,2476,150.922732,4610,3.6,-33.737863,2400,570,2.1
Mylestom,12875,974,153.042817,225,2.1,-30.464762,1517,300,1.7
Canobolas,10793,1875,149.047339,185,2.7,-33.298346,1600,250,2.4
Johns River,12037,942,152.695147,150,2.4,-31.733492,1344,250,2.3
Wallarobba,14111,1354,151.697483,81,2.3,-32.497237,2167,215,2.3
The Entrance,13818,846,151.511249,3184,1.9,-33.326254,1473,320,1.2
Woodpark,14390,1577,150.961859,485,3.3,-33.84063,2071,450,1.9
Whittingham,14279,1625,151.201067,143,2.8,-32.604494,2479,180,2.3
Rushcutters Bay,13444,1708,151.228614,1680,1.6,-33.87624,1900,420,0.6
Stonehenge (NSW),13665,1312,151.7249,57,2.5,-29.8299,1486,185,2.6
Bohena Creek,10444,1642,149.66193,63,2.8,-30.439473,1733,135,2.5
Roselands,13409,1355,151.073197,4094,3,-33.933167,2167,380,1.8
Myocum,12877,1139,153.503992,460,2.5,-28.576877,1733,308,2
Girraween (NSW),11636,1779,150.947276,1880,3.1,-33.799843,2200,415,1.6
Lightning Ridge,12320,681,147.979236,1594,2,-29.425724,867,150,1.5
Pheasants Nest,13191,2042,150.635599,226,3.3,-34.255973,2221,488,2.9
Bowna,10534,1666,147.130856,52,2.5,-35.964984,2000,0,2.2
Upsalls Creek,14049,1166,152.659543,53,2.1,-31.633347,1733,285,1.9
Yamba (NSW),14458,873,153.361445,3803,2.1,-29.437064,1517,300,1.4
Pitt Town,13226,2316,150.841424,981,3.2,-33.596291,2600,400,2.5
Constitution Hill,11014,1443,150.975,1462,2.8,-33.793,2088,380,1.7
