city,code,people
Killimicat,12136,29
Tuppal,13972,9
Mummulgum,12836,95
Kippenduff,12169,36
Tuckurimba,13948,102
Grahamstown,11735,61
Mairjimmy,12447,58
Shannons Flat,13528,78
Cullenbone,11149,35
Wallacetown,14100,7
Junee Reefs,12047,84
Turill,13974,105
Broughton Village,10607,86
Memagong,12565,92
Woodburn (Shoalhaven - NSW),14380,54
Clare (NSW),10917,17
Bullagreen,10657,48
Brooman,10602,21
Wiagdon,14282,37
Ryhope,13456,24
Pullabooka,13270,43
Round Swamp,13426,20
Upper Allyn,14013,12
Currowan,11181,53
Caloola,10760,88
Two Mile Flat,13992,89
Culmaran Creek,11153,10
Undercliffe,14010,12
Garoo,11591,104
Paling Yards (Oberon - NSW),13129,16
Bombah Point,10454,12
Wolgan Valley,14349,69
Loadstone,12366,37
Blue Nobby,10418,24
Baldersleigh,10150,54
Silent Grove,13543,21
Brodies Plains,10586,58
Tabbita,13721,73
Collingwood (NSW),10977,43
Manchester Square,12463,19
Goolhi,11706,88
Harpers Hill,11857,54
Cottonvale (NSW),11087,24
Boonoo Boonoo,10493,16
Fortis Creek,11551,27
Wondalga,14372,100
Warrazambil Creek,14168,20
Collendina,10973,107
Middle Falbrook,12604,92
Oswald,13100,88
Louisa Creek,12393,9
Stewarts Brook,13658,38
Toongi,13908,61
The Branch,13814,81
Cedar Creek (Tweed - NSW),10869,20
Halton,11836,18
Wards Mistake,14146,23
Teridgerie,13796,60
Goorangoola,11716,53
Nooroo,12972,58
Jingera,12034,39
Lords Hill,12388,22
Bendoura,10292,70
Toonumbar,13909,39
Lenaghan,12302,59
Gilgooma,11620,33
Brooklana,10597,42
Wirrimbi,14341,81
Kaputar,12069,6
Big Ridge,10344,14
Cobaki Lakes,10948,42
Chowan Creek,10913,37
Montecollum,12684,54
Darbalara,11204,50
Mogo (Mid-Western Regional - NSW),12661,4
Eenaweena,11385,10
Bland,10405,46
Amosfield,10050,31
Abington (NSW),10012,12
Backwater,10131,14
North Arm (NSW),12978,126
Craigie (NSW),11104,26
Hollisdale,11922,48
Terrace Creek,13799,52
Coaldale,10945,61
Deep Creek (Clarence Valley - NSW),11228,9
Burrinjuck,10714,19
Euroley,11465,77
Taylors Flat,13778,59
Hebden,11885,42
Buddabadah,10637,48
Bookookoorara,10479,30
Yellow Pinch,14501,51
Maffra (NSW),12440,21
Colo (Hawkesbury - NSW),10983,60
Nerrigundah,12931,25
Budden,10638,19
Limerick,12331,43
Gledswood Hills,11642,22
Narrabarba,12901,12
Fitzgeralds Valley,11528,11
Wandsworth,14131,98
Knorrit Flat,12179,33
Lansdowne Forest,12274,7
Oolong,13087,61
Croom,11124,113
Carrabolla,10824,10
Lankeys Creek,12271,49
Corunna,11085,63
Coila,10962,52
Mount Marsh,12777,6
Terrabella,13798,17
Marys Mount,12516,75
Pinkett,13219,63
Yanga,14462,37
Baerami,10134,70
Sassafras (NSW),13493,31
Smeaton Grange,13558,15
Dumaresq Island,11306,62
Texas (NSW),13809,37
Sweetmans Creek,13713,59
Shark Creek,13529,22
Appletree Flat,10066,16
Mount Panorama,12783,116
Cavan (NSW),10861,47
East Lynne,11359,95
Warrumbungle,14176,5
Kerrabee,12106,15
Hartwood,11863,19
Bannaby,10182,36
Carrs Peninsula,10836,23
Mookerawa,12690,7
Murga,12848,62
Hopefield,11933,83
Huntingdon,11956,92
Cow Flat,11095,63
Back Forest,10129,84
Kyalite,12222,82
Gunderbooka,11807,13
Beggan Beggan,10254,98
Mount Tenandra,12793,18
Bean Creek,10240,75
Brobenah,10582,15
Mourquong,12809,79
Myuna Bay,12884,11
Tannas Mount,13751,43
Stannifer,13651,73
Moolarben,12692,17
Hollydeen,11923,65
Bottle Creek,10519,22
Mole River,12666,67
Numbla Vale,13037,36
Paytens Bridge,13164,104
Garema,11588,104
Upper Macdonald,14034,33
Yallah,14455,138
Borambola,10509,107
Maude (NSW),12525,82
Tubbul,13944,79
Laffing Waters,12234,112
Jeogla,12010,40
Old Station,13080,28
Tanglewood,13747,97
Gumble,11799,57
Bundemar,10674,42
Mount Warning,12800,100
Mogood,12663,23
Couradda,11091,54
Coneac,11004,24
Mount Harris,12762,20
Calliope (NSW),10759,107
Keri Keri,12105,10
Bakers Creek (Uralla - NSW),10141,16
Bangheet,10175,41
Isabella,11989,31
Bulla (NSW),10654,4
Apsley (NSW),10067,107
Burra (Snowy Valleys - NSW),10698,65
Weedallion,14212,13
Widden,14286,69
Zara,14523,76
Drildool,11291,15
Niemur,12963,38
Boorganna,10498,28
Tamban,13742,92
Corrong,11083,3
Lower Acacia Creek,12399,38
Lake George,12246,98
Jellat Jellat,12005,84
